German Word,Bangla Pronunciation,Bangla Meaning,English Meaning,German sentence
auswählen (hat ausgewählt),আউসভ্যাহলেন,বেছে নেওয়া,to choose/select,Wählen Sie die richtige Antwort aus.
man,মান,কেউ/আপনি,one/you,Man muss vorsichtig sein.
zuerst,ৎসুএরস্ট,প্রথমে,first/at first,Zuerst lesen wir den Text.
danach,ডানাখ,তারপর,after that/afterwards,Danach gehen wir essen.
dann,ডান,তখন,then,Dann machen wir die Übung.
der Schluss (Sg.),ডার শ্লুস,সমাপ্তি/শেষ,the end/conclusion,Das ist der Schluss der Lektion.
leise,লাইজে,চুপিচুপি,quiet/quietly,Bitte leise lesen!
erklären (hat erklärt),এরক্ল্যাহরেন,ব্যাখ্যা করা,to explain,Können Sie das erklären?
laut,লাউট,জোরে,loud/loudly,Bitte laut lesen!
ausmachen (hat ausgemacht),আউসমাখেন,বন্ধ করা/একমত হওয়া,to turn off/to agree on,Mach bitte das Licht aus.
zuhören (hat zugehört),ৎসুহ্যোরেন,শোনা,to listen,Hör bitte zu!
aufstehen (ist aufgestanden),আউফশ্টেহেন,ওঠা,to stand up/to get up,Ich stehe um sieben auf.
warten (hat gewartet),ভার্টেন,অপেক্ষা করা,to wait,Bitte warten Sie einen Moment.
die Gebühr -en,ডি গেব্যুর,ফি,fee/charge,Die Gebühr beträgt zehn Euro.
die Kasse -n,ডি কাসে,ক্যাশ কাউন্টার,cash register/counter,Zahlen Sie an der Kasse.
lachen (hat gelacht),লাখেন,হাসা,to laugh,Die Kinder lachen.
der Moment -e,ডার মোমেন্ট,মুহূর্ত,moment,Einen Moment bitte!
beantragen (hat beantragt),বেআন্ট্রাগেন,আবেদন করা,to apply for,Er beantragt einen Pass.
dürfen (ich darf, du darfst, er darf),ড্যুরফেন,পারা,to be allowed to/may,Hier darf man nicht rauchen.
Achtung,আখটুং,সতর্কতা,attention/caution,Achtung! Gefährlich!
die Zigarette -n,ডি ৎসিগারেটে,সিগারেট,cigarette,Rauchen Sie eine Zigarette?
rauchen (hat geraucht),রাউখেন,ধূমপান করা,to smoke,Er raucht nicht mehr.
langsam,লাংজাম,ধীরে,slow/slowly,Fahren Sie bitte langsam!
